     Energy       F.Density    GA.Brill.            PL            PC          PL45
         eV  ph/s/mr^2/0.1%  F.Dens/mm^2             -             -             -
8.88240e+03       3.172e+11    3.905e+11  9.560137e-01  0.000000e+00  0.000000e+00
8.93230e+03       3.159e+11    3.889e+11  9.559997e-01  0.000000e+00  0.000000e+00
8.98220e+03       3.146e+11    3.873e+11  9.559861e-01  0.000000e+00  0.000000e+00
9.03210e+03       3.133e+11    3.857e+11  9.559729e-01  0.000000e+00  0.000000e+00
9.08200e+03       3.120e+11    3.842e+11  9.559600e-01  0.000000e+00  0.000000e+00
9.13190e+03       3.107e+11    3.826e+11  9.559476e-01  0.000000e+00  0.000000e+00
9.18180e+03       3.095e+11    3.810e+11  9.559355e-01  0.000000e+00  0.000000e+00
9.23170e+03       3.082e+11    3.794e+11  9.559238e-01  0.000000e+00  0.000000e+00
9.28160e+03       3.069e+11    3.778e+11  9.559124e-01  0.000000e+00  0.000000e+00
9.33150e+03       3.056e+11    3.762e+11  9.559014e-01  0.000000e+00  0.000000e+00
9.38140e+03       3.043e+11    3.746e+11  9.558908e-01  0.000000e+00  0.000000e+00
9.43130e+03       3.030e+11    3.730e+11  9.558805e-01  0.000000e+00  0.000000e+00
9.48120e+03       3.017e+11    3.714e+11  9.558705e-01  0.000000e+00  0.000000e+00
9.53110e+03       3.004e+11    3.698e+11  9.558612e-01  0.000000e+00  0.000000e+00
9.58100e+03       2.991e+11    3.682e+11  9.558519e-01  0.000000e+00  0.000000e+00
9.63090e+03       2.978e+11    3.666e+11  9.558430e-01  0.000000e+00  0.000000e+00
9.68080e+03       2.965e+11    3.650e+11  9.558344e-01  0.000000e+00  0.000000e+00
9.73070e+03       2.952e+11    3.634e+11  9.558261e-01  0.000000e+00  0.000000e+00
9.78060e+03       2.939e+11    3.618e+11  9.558181e-01  0.000000e+00  0.000000e+00
9.83050e+03       2.926e+11    3.602e+11  9.558105e-01  0.000000e+00  0.000000e+00
9.88040e+03       2.913e+11    3.586e+11  9.558032e-01  0.000000e+00  0.000000e+00
9.93030e+03       2.900e+11    3.570e+11  9.557962e-01  0.000000e+00  0.000000e+00
9.98020e+03       2.887e+11    3.554e+11  9.557894e-01  0.000000e+00  0.000000e+00
1.00301e+04       2.874e+11    3.538e+11  9.557830e-01  0.000000e+00  0.000000e+00
1.00800e+04       2.861e+11    3.522e+11  9.557769e-01  0.000000e+00  0.000000e+00
1.01299e+04       2.848e+11    3.506e+11  9.557710e-01  0.000000e+00  0.000000e+00
1.01798e+04       2.835e+11    3.490e+11  9.557655e-01  0.000000e+00  0.000000e+00
1.02297e+04       2.822e+11    3.474e+11  9.557602e-01  0.000000e+00  0.000000e+00
1.02796e+04       2.809e+11    3.458e+11  9.557553e-01  0.000000e+00  0.000000e+00
1.03295e+04       2.796e+11    3.442e+11  9.557505e-01  0.000000e+00  0.000000e+00
1.03794e+04       2.783e+11    3.426e+11  9.557468e-01  0.000000e+00  0.000000e+00
1.04293e+04       2.770e+11    3.410e+11  9.557426e-01  0.000000e+00  0.000000e+00
1.04792e+04       2.757e+11    3.394e+11  9.557388e-01  0.000000e+00  0.000000e+00
1.05291e+04       2.744e+11    3.378e+11  9.557352e-01  0.000000e+00  0.000000e+00
1.05790e+04       2.731e+11    3.362e+11  9.557319e-01  0.000000e+00  0.000000e+00
1.06289e+04       2.718e+11    3.346e+11  9.557288e-01  0.000000e+00  0.000000e+00
1.06788e+04       2.705e+11    3.330e+11  9.557260e-01  0.000000e+00  0.000000e+00
1.07287e+04       2.692e+11    3.314e+11  9.557234e-01  0.000000e+00  0.000000e+00
1.07786e+04       2.679e+11    3.298e+11  9.557211e-01  0.000000e+00  0.000000e+00
1.08285e+04       2.666e+11    3.282e+11  9.557190e-01  0.000000e+00  0.000000e+00
1.08784e+04       2.653e+11    3.266e+11  9.557172e-01  0.000000e+00  0.000000e+00
1.09283e+04       2.640e+11    3.250e+11  9.557156e-01  0.000000e+00  0.000000e+00
1.09782e+04       2.627e+11    3.235e+11  9.557143e-01  0.000000e+00  0.000000e+00
1.10281e+04       2.615e+11    3.219e+11  9.557132e-01  0.000000e+00  0.000000e+00
1.10780e+04       2.602e+11    3.203e+11  9.557123e-01  0.000000e+00  0.000000e+00
1.11279e+04       2.589e+11    3.187e+11  9.557117e-01  0.000000e+00  0.000000e+00
1.11778e+04       2.576e+11    3.172e+11  9.557112e-01  0.000000e+00  0.000000e+00
1.12277e+04       2.563e+11    3.156e+11  9.557110e-01  0.000000e+00  0.000000e+00
1.12776e+04       2.551e+11    3.140e+11  9.557110e-01  0.000000e+00  0.000000e+00
1.13275e+04       2.538e+11    3.125e+11  9.557113e-01  0.000000e+00  0.000000e+00
1.13774e+04       2.525e+11    3.109e+11  9.557117e-01  0.000000e+00  0.000000e+00
1.14273e+04       2.513e+11    3.093e+11  9.557124e-01  0.000000e+00  0.000000e+00
1.14772e+04       2.500e+11    3.078e+11  9.557132e-01  0.000000e+00  0.000000e+00
1.15271e+04       2.487e+11    3.062e+11  9.557134e-01  0.000000e+00  0.000000e+00
1.15770e+04       2.475e+11    3.047e+11  9.557146e-01  0.000000e+00  0.000000e+00
1.16269e+04       2.462e+11    3.031e+11  9.557160e-01  0.000000e+00  0.000000e+00
1.16768e+04       2.450e+11    3.016e+11  9.557176e-01  0.000000e+00  0.000000e+00
1.17267e+04       2.437e+11    3.000e+11  9.557191e-01  0.000000e+00  0.000000e+00
1.17766e+04       2.425e+11    2.985e+11  9.557211e-01  0.000000e+00  0.000000e+00
1.18265e+04       2.412e+11    2.970e+11  9.557233e-01  0.000000e+00  0.000000e+00
1.18764e+04       2.400e+11    2.954e+11  9.557256e-01  0.000000e+00  0.000000e+00
1.19263e+04       2.387e+11    2.939e+11  9.557282e-01  0.000000e+00  0.000000e+00
